"VkFDer80GOrelWALdgNReg,83_p9vIqOq1TUIf3_GD7bA"	[0.020833333333333332, 0.041500000000000002, 0.0016666666666666668, 0.080000000000000016, 1.9277108433734942]
"VkFDer80GOrelWALdgNReg,eOv0Dbq2E8sd0CKMAqTImw"	[0.020833333333333332, 0.0070000000000000001, 0.00083333333333333339, 0.040000000000000008, 5.7142857142857153]
"WWlNzfSllSQhr4whj0W_ng,4ykgzzzGEWjMD5lwk1-l9A"	[0.046666666666666669, 0.0064999999999999997, 0.00083333333333333339, 0.017857142857142856, 2.7472527472527473]
"Y2p07YEC8xOsYTHWf0UxiA,2SwC8wqpZC4B9iFVTgYT9A"	[0.011666666666666667, 0.095500000000000002, 0.0025000000000000001, 0.21428571428571427, 2.2438294689603588]
"ZL6DNzyenFm9Kpz6uADlNg,WWlNzfSllSQhr4whj0W_ng"	[0.037499999999999999, 0.028000000000000001, 0.00083333333333333339, 0.022222222222222223, 0.79365079365079372]
"eT5Ck7Gg1dBJobca9VFovw,83_p9vIqOq1TUIf3_GD7bA"	[0.016666666666666666, 0.041500000000000002, 0.0016666666666666668, 0.10000000000000001, 2.4096385542168677]
"eT5Ck7Gg1dBJobca9VFovw,ZDKi3qsO8lSSogrIdbLJKg"	[0.016666666666666666, 0.014, 0.0016666666666666668, 0.10000000000000001, 7.1428571428571432]
"eznh0XjVtv924K-KYx_ilQ,PzG0XmAmtXFs6Fdnubf41g"	[0.0091666666666666667, 0.068000000000000005, 0.00083333333333333339, 0.090909090909090912, 1.3368983957219251]
"eznh0XjVtv924K-KYx_ilQ,tv8cS4aaA1VDaInYgggb6g"	[0.0091666666666666667, 0.016, 0.00083333333333333339, 0.090909090909090912, 5.6818181818181817]
"f_e6RWJIERK708E4Cod1wg,HwwEfnZKLNOUoqfgcwAgcQ"	[0.0074999999999999997, 0.0050000000000000001, 0.00083333333333333339, 0.11111111111111112, 22.222222222222225]
"g58NW9q4F09wTMiI7EIjmg,HwwEfnZKLNOUoqfgcwAgcQ"	[0.010833333333333334, 0.0050000000000000001, 0.00083333333333333339, 0.076923076923076927, 15.384615384615385]
"sbW8qHJgzEIH42B0S-3New,b9WZJp5L1RZr4F1nxclOoQ"	[0.039166666666666669, 0.017000000000000001, 0.00083333333333333339, 0.021276595744680851, 1.2515644555694616]
"t15LDNaHFpu-bAEJSdoV-g,PzG0XmAmtXFs6Fdnubf41g"	[0.0083333333333333332, 0.068000000000000005, 0.0025000000000000001, 0.29999999999999999, 4.4117647058823524]
"VkFDer80GOrelWALdgNReg,JDDeaNfb0JXD1NbznSIC9g"	[0.020833333333333332, 0.029499999999999998, 0.0016666666666666668, 0.080000000000000016, 2.7118644067796618]
"VkFDer80GOrelWALdgNReg,g58NW9q4F09wTMiI7EIjmg"	[0.020833333333333332, 0.0064999999999999997, 0.00083333333333333339, 0.040000000000000008, 6.1538461538461551]
"WWlNzfSllSQhr4whj0W_ng,tv8cS4aaA1VDaInYgggb6g"	[0.046666666666666669, 0.016, 0.00083333333333333339, 0.017857142857142856, 1.1160714285714284]
"ZDKi3qsO8lSSogrIdbLJKg,uI0LvTXFACid1308KFO5ew"	[0.023333333333333334, 0.0060000000000000001, 0.00083333333333333339, 0.035714285714285712, 5.9523809523809517]
"eOv0Dbq2E8sd0CKMAqTImw,7wT532x2Qz5Hw9BqtBapqw"	[0.011666666666666667, 0.0060000000000000001, 0.00083333333333333339, 0.071428571428571425, 11.904761904761903]
"eznh0XjVtv924K-KYx_ilQ,sbW8qHJgzEIH42B0S-3New"	[0.0091666666666666667, 0.0235, 0.0016666666666666668, 0.18181818181818182, 7.7369439071566735]
"f_e6RWJIERK708E4Cod1wg,ISKLP0qxApATxRlUDob6Cg"	[0.0074999999999999997, 0.0064999999999999997, 0.00083333333333333339, 0.11111111111111112, 17.094017094017097]
"kKmvSJ6Z8UVPdrnL74bqrg,LiMXTPwanF3LkkKHklFCjw"	[0.014166666666666666, 0.014500000000000001, 0.0016666666666666668, 0.11764705882352942, 8.1135902636916839]
"qA1PXTv0snTO1gpNPm-Jfw,1qCuOcks5HRv67OHovAVpg"	[0.013333333333333334, 0.0074999999999999997, 0.00083333333333333339, 0.0625, 8.3333333333333339]
"qA1PXTv0snTO1gpNPm-Jfw,kKmvSJ6Z8UVPdrnL74bqrg"	[0.013333333333333334, 0.0085000000000000006, 0.0025000000000000001, 0.1875, 22.058823529411764]
"s74Tq6WKV1b91UFRr7ch7g,EoAY1JSVeJriBzId8lUQwQ"	[0.0091666666666666667, 0.023, 0.00083333333333333339, 0.090909090909090912, 3.9525691699604746]
"s74Tq6WKV1b91UFRr7ch7g,HwwEfnZKLNOUoqfgcwAgcQ"	[0.0091666666666666667, 0.0050000000000000001, 0.00083333333333333339, 0.090909090909090912, 18.181818181818183]
"tU-YtoW339PXJmUGSix_AQ,JDDeaNfb0JXD1NbznSIC9g"	[0.0083333333333333332, 0.029499999999999998, 0.00083333333333333339, 0.10000000000000001, 3.3898305084745766]
"usSROUMiAgPcxV3Ym0OxMQ,Ts4xsKPU7FNPPZRj-nRjIg"	[0.051666666666666666, 0.0235, 0.0025000000000000001, 0.048387096774193547, 2.0590253946465338]
"wfCLz9-aeShbPB7CaTY-qQ,Ts4xsKPU7FNPPZRj-nRjIg"	[0.065833333333333327, 0.0235, 0.0066666666666666671, 0.10126582278481014, 4.3091839482897933]
"3gmBc0qN_LtGbZAjTtHWZg,PzG0XmAmtXFs6Fdnubf41g"	[0.013333333333333334, 0.068000000000000005, 0.0016666666666666668, 0.125, 1.838235294117647]
"6ilJq_05xRgek_8qUp36-g,tv8cS4aaA1VDaInYgggb6g"	[0.026666666666666668, 0.016, 0.00083333333333333339, 0.03125, 1.953125]
"6p9TlP2I8S4agxYMNFSDjg,JDDeaNfb0JXD1NbznSIC9g"	[0.024166666666666666, 0.029499999999999998, 0.0041666666666666666, 0.17241379310344829, 5.8445353594389253]
"83_p9vIqOq1TUIf3_GD7bA,uI0LvTXFACid1308KFO5ew"	[0.069166666666666668, 0.0060000000000000001, 0.00083333333333333339, 0.012048192771084338, 2.0080321285140563]
"B9C6j80ob0f1pwi1Cnnd1Q,usSROUMiAgPcxV3Ym0OxMQ"	[0.018333333333333333, 0.031, 0.0033333333333333335, 0.18181818181818182, 5.8651026392961878]
"BG4N0V93wml9kaU6YYRxRA,tvXTHj9V5sgRoeVJW_FiTg"	[0.0083333333333333332, 0.0054999999999999997, 0.0016666666666666668, 0.20000000000000001, 36.363636363636367]
"FiXamVMgMf9U0VqFHDZSEA,6ilJq_05xRgek_8qUp36-g"	[0.010833333333333334, 0.016, 0.0033333333333333335, 0.30769230769230771, 19.23076923076923]
"HwwEfnZKLNOUoqfgcwAgcQ,qA1PXTv0snTO1gpNPm-Jfw"	[0.0083333333333333332, 0.0080000000000000002, 0.0025000000000000001, 0.29999999999999999, 37.5]
"JDDeaNfb0JXD1NbznSIC9g,6ilJq_05xRgek_8qUp36-g"	[0.049166666666666664, 0.016, 0.00083333333333333339, 0.016949152542372885, 1.0593220338983054]
"JDDeaNfb0JXD1NbznSIC9g,LiMXTPwanF3LkkKHklFCjw"	[0.049166666666666664, 0.014500000000000001, 0.00083333333333333339, 0.016949152542372885, 1.1689070718877852]
"JDDeaNfb0JXD1NbznSIC9g,VkFDer80GOrelWALdgNReg"	[0.049166666666666664, 0.012500000000000001, 0.0016666666666666668, 0.03389830508474577, 2.7118644067796613]
"MKyk4F4HSzHF8v-4cYe3Ww,3gmBc0qN_LtGbZAjTtHWZg"	[0.021666666666666667, 0.0080000000000000002, 0.0033333333333333335, 0.15384615384615385, 19.23076923076923]
"MKyk4F4HSzHF8v-4cYe3Ww,4ykgzzzGEWjMD5lwk1-l9A"	[0.021666666666666667, 0.0064999999999999997, 0.00083333333333333339, 0.038461538461538464, 5.9171597633136104]
"PzG0XmAmtXFs6Fdnubf41g,WWlNzfSllSQhr4whj0W_ng"	[0.11333333333333333, 0.028000000000000001, 0.0025000000000000001, 0.022058823529411766, 0.78781512605042026]
"Ts4xsKPU7FNPPZRj-nRjIg,LiMXTPwanF3LkkKHklFCjw"	[0.039166666666666669, 0.014500000000000001, 0.00083333333333333339, 0.021276595744680851, 1.4673514306676447]
"Ts4xsKPU7FNPPZRj-nRjIg,usSROUMiAgPcxV3Ym0OxMQ"	[0.039166666666666669, 0.031, 0.0025000000000000001, 0.063829787234042548, 2.0590253946465338]
"VkFDer80GOrelWALdgNReg,7wT532x2Qz5Hw9BqtBapqw"	[0.020833333333333332, 0.0060000000000000001, 0.00083333333333333339, 0.040000000000000008, 6.6666666666666679]
"Y2p07YEC8xOsYTHWf0UxiA,B9C6j80ob0f1pwi1Cnnd1Q"	[0.011666666666666667, 0.010999999999999999, 0.00083333333333333339, 0.071428571428571425, 6.4935064935064934]
"Y2p07YEC8xOsYTHWf0UxiA,wfCLz9-aeShbPB7CaTY-qQ"	[0.011666666666666667, 0.0395, 0.0025000000000000001, 0.21428571428571427, 5.4249547920433994]
"f_e6RWJIERK708E4Cod1wg,6ilJq_05xRgek_8qUp36-g"	[0.0074999999999999997, 0.016, 0.00083333333333333339, 0.11111111111111112, 6.9444444444444446]
"f_e6RWJIERK708E4Cod1wg,VkFDer80GOrelWALdgNReg"	[0.0074999999999999997, 0.012500000000000001, 0.00083333333333333339, 0.11111111111111112, 8.8888888888888893]
"ljKPmpxxTJSEArW2T-ikFA,WWlNzfSllSQhr4whj0W_ng"	[0.0083333333333333332, 0.028000000000000001, 0.00083333333333333339, 0.10000000000000001, 3.5714285714285716]
"sbW8qHJgzEIH42B0S-3New,Ts4xsKPU7FNPPZRj-nRjIg"	[0.039166666666666669, 0.0235, 0.0016666666666666668, 0.042553191489361701, 1.8107741059302851]
"tU-YtoW339PXJmUGSix_AQ,7wT532x2Qz5Hw9BqtBapqw"	[0.0083333333333333332, 0.0060000000000000001, 0.00083333333333333339, 0.10000000000000001, 16.666666666666668]
"uI0LvTXFACid1308KFO5ew,tv8cS4aaA1VDaInYgggb6g"	[0.01, 0.016, 0.00083333333333333339, 0.083333333333333343, 5.2083333333333339]
"1qCuOcks5HRv67OHovAVpg,LiMXTPwanF3LkkKHklFCjw"	[0.012500000000000001, 0.014500000000000001, 0.00083333333333333339, 0.066666666666666666, 4.5977011494252871]
"1qCuOcks5HRv67OHovAVpg,usSROUMiAgPcxV3Ym0OxMQ"	[0.012500000000000001, 0.031, 0.0016666666666666668, 0.13333333333333333, 4.301075268817204]
"2SwC8wqpZC4B9iFVTgYT9A,3gmBc0qN_LtGbZAjTtHWZg"	[0.15916666666666668, 0.0080000000000000002, 0.0041666666666666666, 0.026178010471204185, 3.2722513089005232]
"2SwC8wqpZC4B9iFVTgYT9A,ZL6DNzyenFm9Kpz6uADlNg"	[0.15916666666666668, 0.022499999999999999, 0.0050000000000000001, 0.031413612565445025, 1.3961605584642234]
"4ykgzzzGEWjMD5lwk1-l9A,tvXTHj9V5sgRoeVJW_FiTg"	[0.010833333333333334, 0.0054999999999999997, 0.00083333333333333339, 0.076923076923076927, 13.986013986013988]
"6ilJq_05xRgek_8qUp36-g,b9WZJp5L1RZr4F1nxclOoQ"	[0.026666666666666668, 0.017000000000000001, 0.00083333333333333339, 0.03125, 1.838235294117647]
"6p9TlP2I8S4agxYMNFSDjg,tU-YtoW339PXJmUGSix_AQ"	[0.024166666666666666, 0.0050000000000000001, 0.00083333333333333339, 0.034482758620689655, 6.8965517241379306]
"83_p9vIqOq1TUIf3_GD7bA,McikHxxEqZ2X0joaRNKlaw"	[0.069166666666666668, 0.041500000000000002, 0.0033333333333333335, 0.048192771084337352, 1.1612715923936712]
"B9C6j80ob0f1pwi1Cnnd1Q,kKmvSJ6Z8UVPdrnL74bqrg"	[0.018333333333333333, 0.0085000000000000006, 0.00083333333333333339, 0.045454545454545456, 5.3475935828877006]
"BG4N0V93wml9kaU6YYRxRA,Ts4xsKPU7FNPPZRj-nRjIg"	[0.0083333333333333332, 0.0235, 0.0016666666666666668, 0.20000000000000001, 8.5106382978723403]
"BG4N0V93wml9kaU6YYRxRA,sbW8qHJgzEIH42B0S-3New"	[0.0083333333333333332, 0.0235, 0.0016666666666666668, 0.20000000000000001, 8.5106382978723403]
"EoAY1JSVeJriBzId8lUQwQ,3gmBc0qN_LtGbZAjTtHWZg"	[0.03833333333333333, 0.0080000000000000002, 0.0033333333333333335, 0.086956521739130446, 10.869565217391306]
"FiXamVMgMf9U0VqFHDZSEA,kKmvSJ6Z8UVPdrnL74bqrg"	[0.010833333333333334, 0.0085000000000000006, 0.00083333333333333339, 0.076923076923076927, 9.0497737556561084]
"ISKLP0qxApATxRlUDob6Cg,3gmBc0qN_LtGbZAjTtHWZg"	[0.010833333333333334, 0.0080000000000000002, 0.0016666666666666668, 0.15384615384615385, 19.23076923076923]
"ISKLP0qxApATxRlUDob6Cg,wfCLz9-aeShbPB7CaTY-qQ"	[0.010833333333333334, 0.0395, 0.0033333333333333335, 0.30769230769230771, 7.7896786757546259]
"JDDeaNfb0JXD1NbznSIC9g,1qCuOcks5HRv67OHovAVpg"	[0.049166666666666664, 0.0074999999999999997, 0.0025000000000000001, 0.050847457627118647, 6.7796610169491531]
"LiMXTPwanF3LkkKHklFCjw,b9WZJp5L1RZr4F1nxclOoQ"	[0.024166666666666666, 0.017000000000000001, 0.00083333333333333339, 0.034482758620689655, 2.0283975659229205]
"McikHxxEqZ2X0joaRNKlaw,2SwC8wqpZC4B9iFVTgYT9A"	[0.069166666666666668, 0.095500000000000002, 0.0050000000000000001, 0.072289156626506021, 0.75695451964927774]
"PzG0XmAmtXFs6Fdnubf41g,McikHxxEqZ2X0joaRNKlaw"	[0.11333333333333333, 0.041500000000000002, 0.0033333333333333335, 0.029411764705882356, 0.70871722182849051]
