run_number,name,importance
0,bus_neighborhoods_Knoxville,0.002128524
0,b25003e3,0.002107416
0,bc_census_tract_40131167135,0.002096419
0,bc_census_tract_371190029043,0.002083633
0,bus_attributes_Ambience_intimate,0.002077705
0,b11001m5,0.002065353
0,bc_census_tract_40136182001,0.002060392
0,bus_city_Las Vegas,0.002038145
0,bus_categories_University_Housing,0.001990559
0,bus_hours_Monday_open_10:00:00,0.001989815
0,b25004m1,0.001973434
0,bus_city_Summerlin,0.001969514
0,bus_hours_Tuesday_open_07:45:00,0.001969433
0,bc_census_tract_40131032152,0.00195607
0,bc_census_tract_420032715002,0.001950472
0,bc_census_tract_420034211004,0.001936886
0,bus_hours_Monday_open_20:30:00,0.00193594
0,bus_city_Carefree,0.001932252
0,bc_census_tract_40130610291,0.001930381
0,bus_categories_Vocational___Technical_School,0.001926855
0,b11001m4,0.001907136
0,bus_hours_Monday_open_14:00:00,0.001902596
0,bc_census_tract_40139413004,0.001895933
0,b11001e4,0.001895788
0,bc_census_tract_420035616002,0.001883648
0,bc_census_tract_320030051034,0.001871622
0,bc_census_tract_40131167131,0.001867174
0,bus_categories_Personal_Shopping,0.001844781
0,bc_census_tract_320030053354,0.00183669
0,bc_census_tract_320030053162,0.001829059
0,bc_census_tract_320030058041,0.001817401
0,bus_hours_Monday_close_03:30:00,0.001815078
0,bc_census_tract_371190003001,0.001811691
0,bc_census_tract_40134207101,0.001785389
0,bus_hours_Thursday_close_15:45:00,0.001766077
0,bc_census_tract_420030605002,0.001746461
0,bc_census_tract_40136113001,0.001743504
0,bc_census_tract_320030006001,0.001739724
0,bus_categories_Parking,0.001722264
0,b11001e8,0.001716177
0,bus_categories_Adult_Education,0.001711799
0,bc_census_tract_40250014023,0.001699361
0,bc_census_tract_320030058551,0.001698261
0,bus_categories_Thrift_Stores,0.001671381
0,b25004m3,0.001662327
0,bc_census_tract_320030029461,0.001604942
0,bc_census_tract_40131097021,0.00160389
0,countyfp_21,0.001591027
0,bc_census_tract_420034762001,0.001582053
0,bc_census_tract_320030029841,0.001580554
0,bc_census_tract_40136182002,0.001570925
0,bc_census_tract_420031011003,0.001570803
0,bc_census_tract_320030054211,0.001548681
0,bus_categories_Go_Karts,0.001535787
0,bc_census_tract_40133197031,0.001532992
0,bc_census_tract_40131097032,0.001523384
0,bc_census_tract_320030001053,0.001520762
0,bc_census_tract_40134207092,0.001514726
0,bus_neighborhoods_Sunset_Village,0.001511303
0,bus_hours_Friday_close_10:30:00,0.001497385
0,bc_census_tract_371190001003,0.00148473
0,bc_census_tract_320030058552,0.001482667
0,bus_categories_Restaurants,0.001464727
0,bus_attributes_Take_out,0.00142716
0,b09002e7,0.001423411
0,bc_census_tract_40134225142,0.001413716
0,bc_census_tract_420035238004,0.001404295
0,bc_census_tract_40210003172,0.001402684
0,bc_census_tract_420034723003,0.001374176
0,bc_census_tract_40131046003,0.001316858
0,bus_neighborhoods_Wexford,0.001314259
0,bc_census_tract_40131035024,0.001308586
0,bc_census_tract_40130610432,0.001308015
0,b03003e1,0.001307915
0,bc_census_tract_320030058034,0.00130028
0,bc_census_tract_320030014022,0.001300041
0,bc_census_tract_40133191033,0.001287168
0,bc_census_tract_40131096012,0.001286842
0,bus_hours_Monday_open_06:00:00,0.00128323
0,bc_census_tract_40130927181,0.001282344
0,bc_census_tract_40131166091,0.001282097
0,b11001m7,0.001270458
0,bc_census_tract_371790203161,0.001257029
0,bus_categories_Recycling_Center,0.001237373
0,bc_census_tract_40138156002,0.001216172
0,bc_census_tract_320030033163,0.001211196
0,bc_census_tract_40138120002,0.001211082
0,bus_city_Whitney,0.001189952
0,bc_census_tract_320030058222,0.001181696
0,b09002e5,0.001181199
0,bc_census_tract_40131042261,0.001177088
0,bc_census_tract_320030029581,0.001172167
0,b09002m11,0.001141984
